Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
180.0;210.0;240.0;270.0;300.0;330.0;1.0;30.0;60.0;90.0;120.0;150.0
0.04;0.12;0.18;0.26;0.25;0.15;0.0;0.0;0.0;0.0;0.0;0.0
