;Species;bovine;smallRuminant;equine
;Management;fattened animal;fattened animal;draught animal
livestock market;normal;5.0;7.0;4.0
livestock market;increase;8.0;10.0;7.0
crop subsistent;normal;3.0;5.0;2.0
crop subsistent;increase;5.0;7.0;4.0
crop market;normal;4.0;5.0;2.0
crop market;increase;7.0;8.0;5.0
livestock subsistent;normal;;;0.5
livestock subsistent;increase;;;3.0
